run,device,device_name,sm,sm_count,cell,axis,points,voxel_m,pool_blocks,blocks,load_factor,batch,scratch_slots,arm,stage,p50_ms,p95_ms,p99_ms,min_ms,mean_ms,n,gpu_state
1,1,"NVIDIA GeForce RTX 5060",120,30,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,allocate,0.053716,0.054388,0.054392,0.053052,0.053707,30,"2797, 13801, 40, 76.29"
1,1,"NVIDIA GeForce RTX 5060",120,30,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A3-cuda,update,0.456508,0.458576,0.459484,0.452436,0.456172,30,"2797, 13801, 40, 76.29"
1,1,"NVIDIA GeForce RTX 5060",120,30,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A4-rust,allocate,0.063008,0.063640,0.063744,0.062108,0.063011,30,"2797, 13801, 40, 76.29"
1,1,"NVIDIA GeForce RTX 5060",120,30,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A4-rust,update,0.474012,0.477728,0.478288,0.469520,0.473885,30,"2797, 13801, 40, 76.29"
1,1,"NVIDIA GeForce RTX 5060",120,30,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A5-triton,allocate,0.962188,0.964092,0.965416,0.959392,0.962187,30,"2797, 13801, 40, 76.29"
1,1,"NVIDIA GeForce RTX 5060",120,30,base,baseline,320000,0.010000,16384,1160,0.035400,8,65536,A5-triton,update,0.558408,0.560692,0.561400,0.555976,0.558504,30,"2797, 13801, 40, 76.29"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A3-cuda,allocate,0.008304,0.008784,0.008880,0.007988,0.008346,30,"2797, 13801, 38, 62.98"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A3-cuda,update,0.063904,0.065000,0.065556,0.062612,0.063813,30,"2797, 13801, 38, 62.98"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A4-rust,allocate,0.018544,0.018916,0.018984,0.018152,0.018568,30,"2797, 13801, 38, 62.98"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A4-rust,update,0.064040,0.064776,0.065044,0.062984,0.064008,30,"2797, 13801, 38, 62.98"
1,1,"NVIDIA GeForce RTX 5060",120,30,pts-20k,points,20000,0.010000,16384,1104,0.033691,8,65536,A5-triton,allocate,0.094584,0.095152,0.095216,0.093788,0.094580,30,"2797, 13801, 38, 62.98"
